#Knapsack Problem
#Probability of adding element | Max fitness achieved
0.05 -188519.8
0.03333333333333333 -76475.8
0.022222222222222223 2147.3
0.014814814814814815 2186.4
0.009876543209876543 2218.9
0.006584362139917695 2226.5
0.0043895747599451305 2215.1
0.0029263831732967535 2169.1
0.001950922115531169 2148.6
0.001300614743687446 2089.8
8.670764957916306E-4 1975.3
5.780509971944203E-4 1812.3
3.853673314629469E-4 1565.7
2.5691155430863124E-4 1451.7
1.712743695390875E-4 1072.3
1.1418291302605833E-4 1051.1
